Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
564,5.20909773233035E-05,5.64915547635083E-05,0.000839154523163336,0.00085428126352508,0.000537499439435061,0.000544041429557891,9.93996756983927E-05,0.000104983849600363,0.000106345397675811,0.00011426053760975,0.000114217677422393,0.000112912257817626,0.000591152022038823,0.000601629689163414,0.000603092832548376,0.000418652156700212,0.000420518690083832,0.000170460904867136
565,5.45150021233626E-05,7.05187235181711E-05,0.000795538572707785,0.000794006327584225,0.000509774083302626,0.000510998073725403,9.97721154252531E-05,0.000112815287551129,0.000110674893761425,0.000111481924749162,0.000109846756089524,0.000115887000502535,0.000572793857012804,0.000586482981084837,0.000581312071070905,0.000411709621533597,0.000410446862183402,0.000180461694389032
566,5.77933904880685E-05,7.43898139356206E-05,0.000748313063258451,0.000754267651459941,0.000483437068219024,0.000487492734074693,0.000106862240970936,0.000111268872962067,0.000114790809352722,0.000122634617929496,0.000122432117673919,0.000123713504297522,0.000543542372638904,0.000552445640815047,0.000549884078422198,0.000393268846000699,0.000391271541738347,0.000177158587447297
567,5.37684544825311E-05,8.35961421417559E-05,0.000702421398743914,0.000711747531750057,0.000453422108689281,0.00045475709950266,0.000110831356771319,0.000111285513992772,0.000114926535317498,0.000115945326184543,0.000121796939492484,0.000120605499966458,0.000527715919481812,0.0005390896415867,0.000539969369138185,0.000392663499883919,0.00039438934837346,0.000188639451368595
568,6.80332992467059E-05,7.25153937752432E-05,0.000669076471916429,0.000671313346986167,0.000436538094377181,0.000433127271086101,0.000113702333508073,0.000113618039502687,0.000112900754357866,0.000123293346559843,0.000125139590872918,0.000122621050468112,0.00050385637909142,0.000512933255610827,0.000514065238236949,0.000370620303104158,0.000374275058976102,0.000182162127218965
569,7.62465064803812E-05,6.51016038194384E-05,0.000630868360025329,0.000632440944221487,0.000420142077740176,0.000418045298811965,0.000119516398907998,0.000125282540960576,0.000126115085535013,0.000131310780379182,0.000130786585647129,0.000132359169843287,0.000491539978252621,0.000500760144031445,0.000498601695134757,0.0003752617581812,0.00037372000896928,0.000201044097234299
570,7.45848610791827E-05,8.28340963919747E-05,0.00057497006059648,0.000590469034982368,0.000386571855860896,0.000383707934483246,0.000100136210941271,0.000104703023925267,0.000103922242878364,0.000107414490480052,0.000112039193149145,0.000109289612888645,0.000456331166305674,0.000443785244765126,0.00045975366071504,0.000338804193835618,0.00033329356959181,0.00017375535047527
571,7.2424660359211E-05,9.46568028730189E-05,0.000558652195984226,0.000554598245628554,0.000367860218614191,0.000369638805003214,0.000102195631778745,0.000110942136999595,0.00010875141823204,0.000118171221821304,0.000118409644393281,0.000119426709598499,0.000440606907094522,0.000443693869016123,0.000448641501910674,0.000336690371890537,0.000341705949430782,0.000184832886206736
572,7.25046246040459E-05,7.37814816396913E-05,0.000525030215106152,0.000529567111813642,0.000348336267995534,0.000347258720042182,0.000101408839371904,0.000112280242300562,0.000111943455245263,0.000116904411486919,0.0001198592082714,0.000114929458189654,0.000425099101559916,0.000429988255540015,0.000441431112853103,0.000333304836995616,0.00033141839843682,0.000195218252906977
573,7.97044111461062E-05,9.83012750057516E-05,0.000490266648282724,0.000496327686003553,0.000327856895398881,0.000340981594428584,9.96699456794216E-05,0.000102312902173188,0.000115397214842178,0.000109387251347722,0.000110305135429468,0.000113392910713057,0.000403560791629927,0.000413906308908402,0.000416670484360306,0.000325976310050817,0.000318521448908411,0.000186412842998841
574,9.56731905860982E-05,0.000100588300735683,0.00046201882999578,0.000456821767791103,0.000310524466729447,0.000311823732280616,9.8484328778628E-05,0.000105500362754942,0.000104552663176442,0.00010939815940845,0.000113295956061957,0.000109658012518683,0.00038338983477125,0.000389473955809319,0.000384582603146094,0.000299901060164005,0.00030295815557852,0.000177311534041919
575,0.000103706851629106,0.000100212004925473,0.000423173242167904,0.000431291469154278,0.000284160280815441,0.000283293226557517,9.33149377585809E-05,9.61313411678106E-05,0.000100960041461357,9.91914132209539E-05,0.000100683883664922,0.000105792802898968,0.000367250589340443,0.000373171361428199,0.00037916035447026,0.000295806566985767,0.00029117925165969,0.00018125841526384
576,0.000118973544851811,0.000108921981767008,0.000402952592964293,0.000411605458033082,0.000276160399141809,0.000278577291429011,8.80047130457989E-05,9.78242924663078E-05,9.58909875566557E-05,0.000108160990941948,0.000104925445205517,0.000107374657433665,0.000350679219451697,0.000355569491228833,0.000351987764870896,0.00027527647905036,0.000270926344529539,0.000168140575517876
577,0.000127083897768786,0.000112835106852604,0.000391735716772072,0.000398829988544318,0.000269943493021422,0.000271296919176636,9.94871558295261E-05,0.000111246589265275,0.000108059714695525,0.000114484982685823,0.00011546539753569,0.000120486180112602,0.000360234800479139,0.000347672926096045,0.000356512819614589,0.000288883023445899,0.000283472876961502,0.000194871424509325
578,0.000137402084634559,0.000129165988837469,0.000385351877581963,0.000385321706950387,0.000270130235594175,0.000279644041417728,0.000125803488169122,0.000123065251931693,0.00011918079790584,0.000130231028352863,0.000133265188201664,0.000131879350524618,0.00036147961264791,0.000362570536522974,0.000362740024482708,0.000299717420397541,0.000300519012667838,0.000207611510635373
579,0.000140807847992716,0.000128777205706276,0.000337468259649067,0.000354492245601855,0.000245474950998522,0.000241141335948177,9.83003008410281E-05,0.000102327665782219,0.000104396293125338,0.000111776361678681,0.000112486721127271,0.00010697703525545,0.00031701877937662,0.000322340767357358,0.000333837880988656,0.000272072679799035,0.000273590471076995,0.000192215737881194
580,0.000167229063725988,0.000135771107015284,0.000331281630214094,0.0003338809297807,0.000240428206409501,0.000245290637469434,0.00010196698022717,0.000109650821902124,0.000109807841583411,0.000119509751051213,0.000119761877106173,0.000114157074884415,0.000353238903229936,0.000340695042501361,0.000337688833610762,0.000280422555245276,0.000282842588713982,0.00020174321809444
581,0.000161523259349346,0.000138100901058194,0.000292466619009931,0.000309109244555643,0.000208567361944395,0.000211982052133064,8.47449513645996E-05,9.28827644310552E-05,9.41245552830645E-05,9.41592841277541E-05,0.000100605708596084,9.91057979524624E-05,0.000308169642352663,0.00030657122304103,0.00030568892266243,0.000252431770022211,0.000251849827219305,0.000181303341628208
582,0.000196937280024772,0.000175352056113149,0.000296134975826592,0.000302720526646757,0.00020971130663693,0.000218972051009834,0.000100621090438328,0.000106411044662883,0.000108727634750101,0.000112300448461888,0.000112594819202264,0.000118478256026803,0.000323520877936304,0.000325242228275495,0.000313528238400126,0.00027058006217709,0.000271176759623797,0.000205509620616112
583,0.000210663785165842,0.000178173045295849,0.000283425157147549,0.00028212654737952,0.000203389217600751,0.000205950509979648,9.9171859633772E-05,0.000101391320808622,0.000107930432737184,0.000110669247539695,0.000109172864003611,0.000115533714857698,0.000321877708120117,0.000318719228965425,0.00031348383580668,0.000268147497761141,0.000270516104855691,0.000212973971692288
584,0.00020261220614241,0.000186541696918359,0.000262771833203197,0.000267303505277468,0.000194163541974635,0.000192709823820119,9.4258483021638E-05,9.40936411056277E-05,9.94059461984971E-05,0.000104805404414273,0.000103712216258696,0.000103906670494947,0.00031116278205324,0.000299622972222631,0.000299260366458107,0.000262285900834374,0.000259493923542596,0.000204525328302388
585,0.000251428357761179,0.000213983939561466,0.0002500972499733,0.000255990321011035,0.000189211963273095,0.00018770294257222,9.76013384133847E-05,0.000100655625900599,0.00010505389038862,0.000108504506121235,0.000104399575299636,0.000107540162990332,0.000315154599756433,0.000304931253430796,0.000316895217438147,0.000272983933398464,0.000274370248263802,0.000223137225952278
586,0.000270813220733019,0.000225385960087056,0.000239403924987588,0.000249212361235351,0.00017835530569022,0.000179692348602472,9.71404861891905E-05,0.000104460364272366,0.000108806312616653,0.000106590995703855,0.000106868077981795,0.000109202547996804,0.000324104480550692,0.000305324997732262,0.000310866236833261,0.000274063922363897,0.000276380325329978,0.000232452805737712
587,0.000307021187938323,0.000258378708682373,0.000231492159538869,0.000237458088856889,0.000181786527814408,0.000183719676940109,9.94230151153379E-05,0.000105788501091557,0.000107163676487252,0.000114016626194972,0.000111952250127607,0.000114288873133647,0.00033848331204392,0.000309315381353759,0.000312103521817552,0.000278763352916224,0.000281823394681443,0.000231275099347389
588,0.000326186596372205,0.000278268659825226,0.000210032344981127,0.000219533808206464,0.000163775221384093,0.000168275914490832,9.52646707592969E-05,9.95153253601055E-05,0.00011089943145362,0.000103015864443124,0.000100765517889755,0.000107516557549863,0.000325869856088985,0.000310636073249398,0.000306811954923411,0.000285338059708254,0.000281219778434114,0.000237683662107494
589,0.00038551886239781,0.000304355240164162,0.000208867415355716,0.000209933452513694,0.000159534016950022,0.000158096423045377,9.30973362579376E-05,0.000103588464712271,9.69022741647565E-05,0.000106022064136779,0.000105701085795418,0.000105127215427528,0.000323073550207222,0.000300886584792865,0.000308475634204318,0.000270017737247124,0.000280474422036306,0.000233711138977132
590,0.00043875391073639,0.000321105922029334,0.000193688395785925,0.00020182327233862,0.000152022419687112,0.000153365188150131,9.33571173494277E-05,9.62015678264619E-05,9.71472425718016E-05,0.000100547360031535,0.000103461909419715,0.000105429442935472,0.000325378661439442,0.000309425641401862,0.000314062738419586,0.000286642094101876,0.000285192475842255,0.00025077475117612
591,0.00047385161958004,0.000370903470313113,0.000190597810282594,0.000201485441489721,0.000155348375075226,0.000161977144294193,9.92546000569832E-05,0.000104966727596544,0.000101011267611312,0.000108203172248074,0.000110632139571245,0.000111173604434417,0.000358234140719393,0.000327525516256239,0.00033012484375422,0.000305249552972168,0.000303552073654086,0.000279733827533789
592,0.000523929826275078,0.000414450821416846,0.000180656865116285,0.000187125219620955,0.00014265347249765,0.000149880055992533,9.15075244888177E-05,9.44250892538326E-05,9.81901857869357E-05,0.00010208484303434,0.000103095734581126,0.000103052779533304,0.000364234515241546,0.000329426321612294,0.00033310518155732,0.000298191216480958,0.00029808815843496,0.000279165508782549
593,0.00061255630286309,0.000465319479938694,0.000177898899155085,0.000184532659227828,0.000149792891985547,0.000153490259050501,0.000104062779741741,0.000108912932917283,0.000103612344030323,0.000117874577200439,0.000117116307626818,0.000119003361019574,0.000386309426966083,0.00035924967383579,0.000353360660918948,0.000328447992579778,0.000330024547398605,0.000305323862843096
594,0.000647190803005402,0.0005133363398999,0.000168843567108851,0.000168258091222994,0.000133611355931745,0.000130630227896546,9.12689720293481E-05,9.44804512327533E-05,9.4712721994028E-05,9.98898644994571E-05,0.000101170233076069,0.00010232006932403,0.000398847383375676,0.000348548417633093,0.000358065082562701,0.000333593658457995,0.000341075554735116,0.000305685033588489
595,0.000717886551798281,0.000556920010955433,0.000164462675783371,0.000168354739479353,0.000129020379213266,0.000137034352886489,9.63822072745184E-05,9.86347008308545E-05,9.94558379376261E-05,0.000102021102708067,0.000106510766735322,0.000106893843870754,0.000428971032246592,0.000369358467193043,0.000372567301551009,0.000353855110182647,0.000358163601258792,0.000329031711806698
596,0.000786360754464868,0.000637830576183475,0.000164458663657874,0.000170953494322815,0.000139216695303012,0.000144508072050626,0.000104148430200957,0.000116242186947939,0.000107023123157724,0.000109598357226567,0.000118574595254378,0.00011249046711678,0.000465614222476741,0.000405902195750056,0.000407131494149268,0.000385183910663519,0.000382314049501191,0.000367486058938118
597,0.000917670695411693,0.000703856546903981,0.000154725208932665,0.00016099539554709,0.000134947300529683,0.000135115389479829,9.9251167644709E-05,0.000102770320764308,9.9569559709288E-05,0.000112283083859246,0.000114674835594098,0.000107189519895846,0.000481644389782196,0.000409381878953805,0.000417872202700009,0.000393917853111417,0.000397317055245969,0.000379199532407598
598,0.000990390593445545,0.000780399675186178,0.000146198949257077,0.000149147206326505,0.00011663142192596,0.000128156729709434,9.07610551268185E-05,9.46414554637375E-05,9.64807267556767E-05,0.000102511248125452,0.000101872526519645,0.000105953062799367,0.000516371096745255,0.000435205315555633,0.000446029202643433,0.000428645918473817,0.000416348273810418,0.00040611176198736
599,0.00115848135882128,0.000861722352581451,0.000135163279526829,0.000142054586389223,0.000114461363821053,0.000116534188830753,9.15855559825231E-05,9.08638513150734E-05,9.03109128336369E-05,9.91667764454906E-05,9.99617903641696E-05,9.97219338819899E-05,0.00056384805785207,0.000463088664673922,0.000457922546528035,0.000448204639807771,0.000443565767713943,0.000434458003857524
600,0.0012831198522695,0.000969951555897481,0.000140429217592301,0.000142566120965283,0.00011921203487356,0.000121706920345023,9.98253894528208E-05,0.0001002859375851,9.94604533929187E-05,0.000103478471890348,0.000112175272340526,0.000106358979008361,0.000609926159892304,0.000498432138780759,0.000499292471134538,0.000488952811990218,0.000488382783039969,0.00048157142680008
601,0.00139748787289837,0.00108945767508309,0.000127037039457079,0.000139447313403326,0.000114129522663807,0.000115774394439132,9.15229343677559E-05,9.48391471193885E-05,0.000101944236925908,0.00010007815825666,0.000102880112246353,0.000102887674875204,0.000656256416952568,0.000526570276851434,0.000527844802243269,0.000514265434848595,0.000515726801659128,0.000515021697733802
602,0.00155141225397846,0.00120775193161805,0.000133094262864309,0.000135268216341222,0.000115702635049009,0.000124881549729307,9.83110072337094E-05,0.000100001859937975,0.000104577108431869,0.00011038852654989,0.000112079379254155,0.000105315968437094,0.000730194938329078,0.000578868396401405,0.000576310804075626,0.000571479796349153,0.000564943727072162,0.000564091196296902
603,0.00173383971150298,0.00135466826782091,0.000127258851394162,0.000130975341424765,0.000117506125196711,0.000116747873892621,9.28894238279056E-05,9.70733698326264E-05,0.000104546204597424,0.000104581447208853,0.000109374111537974,0.000110920057586844,0.0007842726023831,0.000644113115409721,0.000633020352645192,0.000623376214946787,0.000617928497308279,0.000613625045573694
604,0.00191672637427469,0.00149274791784885,0.000120795043395389,0.000126114241300009,0.000110309438567828,0.000112140576095585,9.07140540235612E-05,9.51600597077584E-05,9.50569573005606E-05,0.000100885366153827,0.000106714024280878,0.000103845603139429,0.000860528658092765,0.000673828863542829,0.000679952966499317,0.000667697005401918,0.000667003747308656,0.00065983214051329
